"ID","rh_bankssts_area","rh_caudalanteriorcingulate_area","rh_caudalmiddlefrontal_area","rh_cuneus_area","rh_entorhinal_area","rh_fusiform_area","rh_inferiorparietal_area","rh_inferiortemporal_area","rh_isthmuscingulate_area","rh_lateraloccipital_area","rh_lateralorbitofrontal_area","rh_lingual_area","rh_medialorbitofrontal_area","rh_middletemporal_area","rh_parahippocampal_area","rh_paracentral_area","rh_parsopercularis_area","rh_parsorbitalis_area","rh_parstriangularis_area","rh_pericalcarine_area","rh_postcentral_area","rh_posteriorcingulate_area","rh_precentral_area","rh_precuneus_area","rh_rostralanteriorcingulate_area","rh_rostralmiddlefrontal_area","rh_superiorfrontal_area","rh_superiorparietal_area","rh_superiortemporal_area","rh_supramarginal_area","rh_frontalpole_area","rh_temporalpole_area","rh_transversetemporal_area","rh_insula_area","rh_WhiteSurfArea_area","BrainSegVolNotVent.x","eTIV.x","lh_bankssts_area","lh_caudalanteriorcingulate_area","lh_caudalmiddlefrontal_area","lh_cuneus_area","lh_entorhinal_area","lh_fusiform_area","lh_inferiorparietal_area","lh_inferiortemporal_area","lh_isthmuscingulate_area","lh_lateraloccipital_area","lh_lateralorbitofrontal_area","lh_lingual_area","lh_medialorbitofrontal_area","lh_middletemporal_area","lh_parahippocampal_area","lh_paracentral_area","lh_parsopercularis_area","lh_parsorbitalis_area","lh_parstriangularis_area","lh_pericalcarine_area","lh_postcentral_area","lh_posteriorcingulate_area","lh_precentral_area","lh_precuneus_area","lh_rostralanteriorcingulate_area","lh_rostralmiddlefrontal_area","lh_superiorfrontal_area","lh_superiorparietal_area","lh_superiortemporal_area","lh_supramarginal_area","lh_frontalpole_area","lh_temporalpole_area","lh_transversetemporal_area","lh_insula_area","lh_WhiteSurfArea_area","BrainSegVolNotVent.y","eTIV.y"
"1_VERIO.long.template_1",783,456,1937,1587,253,2379,4177,2998,837,4322,2300,3235,1638,3074,572,1199,1202,854,1369,1887,3446,954,3997,3860,443,4899,5744,4924,2965,3175,281,366,306,2068,74480.9,991662,1202175.22667,701,615,1769,1432,267,2689,3714,2514,976,4470,2652,2976,1637,2434,548,1202,1558,667,1443,1700,3663,1021,4196,3777,814,3963,5718,4849,3493,3422,199,286,386,2376,74125.3,991662,1202175.22667
"1_SKYRA.long.template_1",811,435,1902,1623,234,2418,4278,3007,826,4427,2370,3291,1620,3073,571,1186,1195,847,1349,1913,3356,962,3886,3834,432,4865,5619,4952,2945,3206,283,364,296,2087,74463.9,978018,1202175.22667,698,595,1717,1427,250,2732,3764,2524,997,4574,2627,3044,1550,2408,551,1150,1545,648,1398,1741,3495,1014,4012,3755,810,3936,5530,4845,3477,3353,198,302,394,2307,73369.1,978018,1202175.22667
"2_VERIO.long.template_2",789,532,1686,1532,308,2537,4414,2908,967,4837,2329,3369,1856,3245,610,1182,1243,878,1822,1809,3572,1073,4431,3307,627,5500,6330,4491,3174,3061,325,401,285,2220,77652.1,1036210,1412157.62623,824,513,1883,1523,399,2824,3960,3302,1017,4671,2434,3155,2018,3111,617,1191,1442,654,1416,1845,3446,1052,4191,3230,524,5299,6940,4566,3223,3062,261,477,381,2269,77714.4,1036210,1412157.62623
"2_SKYRA.long.template_2",806,541,1637,1551,299,2555,4473,2893,957,4958,2326,3419,1834,3249,612,1155,1216,849,1788,1816,3416,1068,4326,3267,581,5453,6069,4462,3158,3023,331,396,282,2231,76995.2,1014049,1412157.62623,845,499,1864,1537,388,2821,4035,3289,1011,4796,2436,3225,1760,3076,646,1154,1425,627,1372,1849,3318,1031,4052,3178,524,5194,6662,4537,3192,3051,265,491,370,2167,76646.5,1014049,1412157.62623
"3_VERIO.long.template_3",1250,1056,2836,1992,486,3538,5583,4348,984,5737,3215,3541,2465,4726,706,1552,1658,986,1741,1876,4246,1392,5480,5460,986,6958,8026,5614,4396,4759,378,551,387,2427,101334,1315233,1661537.50185,1354,768,2413,1538,544,4122,5186,4417,1047,5524,3203,3057,2651,4226,674,1537,1597,892,1471,1378,4321,1438,5465,5082,1092,6862,9154,6173,4520,4530,350,541,494,2580,100199,1315233,1661537.50185
"3_SKYRA.long.template_3",1256,1021,2798,1967,506,3525,5521,4316,997,5668,3093,3543,2466,4673,721,1538,1657,964,1719,1843,4202,1367,5406,5394,965,6886,8001,5620,4348,4720,374,585,380,2457,100499,1306044,1661537.50185,1376,788,2396,1532,519,4046,5186,4417,1099,5465,3230,3116,2528,4189,657,1548,1589,846,1458,1391,4230,1474,5400,5073,1110,6784,9066,6129,4442,4517,343,520,498,2559,99520.1,1306044,1661537.50185
"4_VERIO.long.template_4",740,664,2047,1742,363,2898,3931,3174,973,5930,2448,3242,1881,3471,716,1353,1185,878,1358,1655,3458,1070,4583,3777,579,5587,6696,4753,3301,3289,430,512,304,2168,81155.8,1081313,1419321.88232,760,527,2473,1826,356,3065,3601,3728,1017,5627,2656,3166,1885,2924,660,1312,1489,749,1253,1527,3582,1005,4890,3417,745,5275,6916,5116,3787,3162,246,474,448,2066,81715,1081313,1419321.88232
"4_SKYRA.long.template_4",773,642,2050,1708,365,2894,4049,3178,945,5892,2413,3217,1851,3475,718,1322,1169,842,1350,1657,3365,1066,4535,3770,540,5530,6545,4791,3256,3313,429,533,295,2088,80567,1073813,1419321.88232,787,518,2417,1812,386,3050,3695,3740,1014,5739,2658,3188,1970,2939,656,1276,1473,711,1216,1541,3490,1004,4784,3406,738,5184,6744,5131,3746,3183,246,508,459,2133,81411.9,1073813,1419321.88232
"5_VERIO.long.template_5",1075,741,2445,1688,466,3875,6259,4001,1104,6043,3212,3594,2520,4429,784,1521,1621,1043,1704,1652,4617,1345,5516,4163,861,6390,8185,6037,4222,4231,381,446,335,2750,99256.5,1320605,1707375.55722,1097,694,2928,1541,622,4410,5239,4558,1202,6737,3324,3118,2309,4662,871,1381,1755,816,1515,1402,4549,1527,5778,4015,1140,5743,8536,6668,4488,4338,281,588,431,2988,101249,1320605,1707375.55722
"5_SKYRA.long.template_5",1098,717,2444,1717,389,3856,6428,4046,1060,6186,3195,3617,2517,4386,790,1514,1596,1039,1680,1680,4537,1322,5406,4179,807,6323,8055,6172,4199,4172,389,445,333,2729,99022.2,1316234,1707375.55722,1126,678,2827,1532,625,4411,5401,4556,1214,6888,3240,3154,2167,4645,859,1378,1718,800,1502,1419,4437,1539,5631,4044,1098,5711,8350,6782,4426,4316,281,585,455,2900,100692,1316234,1707375.55722
