"Measure.volume","Left.Lateral.Ventricle","Left.Inf.Lat.Vent","Left.Cerebellum.White.Matter","Left.Cerebellum.Cortex","Left.Thalamus.Proper","Left.Caudate","Left.Putamen","Left.Pallidum","X3rd.Ventricle","X4th.Ventricle","Brain.Stem","Left.Hippocampus","Left.Amygdala","CSF","Left.Accumbens.area","Left.VentralDC","Left.vessel","Left.choroid.plexus","Right.Lateral.Ventricle","Right.Inf.Lat.Vent","Right.Cerebellum.White.Matter","Right.Cerebellum.Cortex","Right.Thalamus.Proper","Right.Caudate","Right.Putamen","Right.Pallidum","Right.Hippocampus","Right.Amygdala","Right.Accumbens.area","Right.VentralDC","Right.vessel","Right.choroid.plexus","X5th.Ventricle","WM.hypointensities","Left.WM.hypointensities","Right.WM.hypointensities","non.WM.hypointensities","Left.non.WM.hypointensities","Right.non.WM.hypointensities","Optic.Chiasm","CC_Posterior","CC_Mid_Posterior","CC_Central","CC_Mid_Anterior","CC_Anterior","BrainSegVol","BrainSegVolNotVent","BrainSegVolNotVentSurf","lhCortexVol","rhCortexVol","CortexVol","lhCerebralWhiteMatterVol","rhCerebralWhiteMatterVol","CerebralWhiteMatterVol","SubCortGrayVol","TotalGrayVol","SupraTentorialVol","SupraTentorialVolNotVent","SupraTentorialVolNotVentVox","MaskVol","BrainSegVol.to.eTIV","MaskVol.to.eTIV","EstimatedTotalIntraCranialVol"
"1_VERIO.long.template_1",4417.7,243.9,14003.3,44619.7,6880.6,3023.8,4623.4,1783.9,517.9,2343.1,19827,3760,1372.5,744.6,513.9,3540,75.3,991.2,5177,168.7,13809.1,45275.9,6451.6,3092.7,4686.2,1814.2,3983.8,1631.3,572,3591.2,86.2,908.4,7.2,357.8,0,0,14.2,0,0,89.2,888,503.8,428.8,500,976.4,993077,978018,977932.945204,212793.240201,216585.50314,429378.743341,188589.221287,189324.980576,377914.201863,52887,572976.743341,873732.945204,862068.945204,860305,1412859,0.826067,1.175252,1202175.22667
"1_SKYRA.long.template_1",4432,267,14280.5,44434.6,7038.3,3060.3,4711.7,1816.2,536.7,2337.5,19722.8,3811.9,1384.4,713.1,545,3757.7,74.5,1066.3,5294,142.7,13802.2,44872.3,6617.5,3150.9,4724,1812,4075.6,1556.2,574.7,3723.4,83.7,989.4,0,370.6,0,0,14.5,0,0,91.1,917.8,544.9,437.8,631.3,922.6,1006923,991662,991650.316083,216234.476457,218886.174438,435120.650895,192464.453825,192343.211364,384807.665188,54249,579794.650895,888049.316083,876136.316083,874216,1418144,0.837584,1.179648,1202175.22667
"2_VERIO.long.template_2",6634.6,342.2,15552.1,49425.3,7124,3595.5,4816.4,2003.5,1072.3,2614.8,20500.6,3590.3,1656.7,1300.8,512.6,4004.7,117.2,1019.7,6994.3,165.8,14553.8,50615.5,7049.8,3621.3,4744.9,1941.7,3814.6,1599.1,628.5,4024.4,112,1046.6,0,518.4,0,0,2.7,0,0,212.7,854.3,574.3,456.1,450.5,834,1035090,1014049,1013671.22001,206807.134622,205307.365758,412114.50038,207414.918733,207138.800892,414553.719625,56372,570019.50038,901445.220005,885308.220005,883474,1462946,0.732985,1.035965,1412157.62623
"2_SKYRA.long.template_2",6227.7,294.1,15559.2,49577.6,7338,3718.8,4812.2,2083.9,1047.5,2570.6,20768.5,3685.5,1657.1,1166.9,572.5,3981,116.3,1009,6644.6,146.4,14217,50880.3,7299.3,3779.4,4839.5,1995,3905.6,1616.4,647,4041.8,115.7,1051.6,0,528.8,0,0,10.8,0,0,203.6,854.9,596.7,472.7,530.7,810.5,1056032,1036210,1035822.65668,211200.616486,210968.9739,422169.590385,212486.788406,212776.277887,425263.066293,57640,581925.590385,922575.656679,907396.656679,905490,1465215,0.747815,1.037572,1412157.62623
"3_VERIO.long.template_3",5203,213.2,18036.1,59422.8,8336.6,4033,5018.9,2335.1,791.8,1456.4,25482.5,4902.9,2067.8,1039.5,776.5,4404,112.4,823,2968.7,227.6,17989.3,60292,8274.3,4053.3,5259.7,1892.9,4709.5,2162.2,873,4407.6,69.7,822.3,5.8,823.5,0,0,5.8,0,0,278.6,883.6,496.5,597.4,452.6,911.3,1319193,1306044,1306165.16404,286323.976951,281731.95638,568055.93333,259049.815043,257453.415668,516503.230712,65449,754079.93333,1162930.16404,1152961.16404,1149792,1820943,0.793959,1.095939,1661537.50185
"3_SKYRA.long.template_3",5177.8,264.8,18066.2,60362,8392.7,4156.7,5085.9,2315.5,788.6,1436.9,25368.6,4843.5,2120,1014.9,776.5,4611.9,113.8,878.2,2982.2,247.4,17655.1,61518.5,8351.8,4135,5313.6,1859.6,4813.4,2214.6,909.3,4744.7,76.6,831.6,5.9,772.5,0,0,5.8,0,0,268.2,892.2,503.4,612.4,463.3,908.7,1328368,1315233,1315286.35344,287434.333658,283404.841085,570839.174743,260318.122094,259655.056604,519973.178697,66743,760439.174743,1170641.35344,1160561.35344,1157427,1813310,0.799481,1.091345,1661537.50185
"4_VERIO.long.template_4",3545.1,550.4,14010.3,49693,7116,3640.7,4657.5,1881.4,899.4,1545.6,19236.3,4504.2,1998.5,969.1,544.4,3953.3,112.7,1326.5,3918.4,299.5,13478.6,49408.3,6656.8,3839.5,4803.6,1630.5,4801.5,2171.5,656.5,3965.9,111.6,1356.7,1,278.1,0,0,4.2,0,0,198.4,957.2,453.9,446,390.2,698.3,1087697,1073813,1073943.5201,236902.677255,235473.91281,472376.590065,210157.548531,205147.381503,415304.930034,58743,631912.590065,959890.520099,949286.520099,946343,1466420,0.76635,1.033184,1419321.88232
"4_SKYRA.long.template_4",3580.3,529.7,13729.5,50144.2,7083.8,3635.3,4623,1911.8,881.2,1562.4,19320.1,4666.1,2010,982,630,3935.3,108,1351.7,3886.6,314.7,13320.1,49760.6,6609.4,3914.3,4722.2,1741.1,4718,2120.7,697.6,3965.8,113.7,1411.2,3.6,310.6,0,0,2,0,0,225.2,963.4,452.8,509.2,401.9,696.3,1095178,1081313,1081763.84951,234815.245313,236088.203511,470903.448823,213930.89925,210344.501436,424275.400686,58973,631349.448823,967658.849509,957047.849509,953726,1468202,0.771621,1.034439,1419321.88232
"5_VERIO.long.template_5",6035.5,440.7,19813.9,57745.4,7970.2,4254.2,6040.7,2116.9,835.2,2320.8,24377.3,4314.1,2037.4,1149,761.8,3857.4,76.6,1038.3,5167.5,260,17096,60926.3,8015.8,4491.5,5936.2,1981.4,4426.1,2213,870.6,3864.4,92.9,1065.1,0,626,0,0,12.9,0,0,149.3,954.6,453.4,670.4,960.6,825.9,1334129,1316234,1315961.87816,288897.715603,282540.539184,571438.254786,264154.470636,258284.15274,522438.623376,64801,757324.254786,1176130.87816,1162361.87816,1158929,1762486,0.781392,1.032278,1707375.55722
"5_SKYRA.long.template_5",6047.8,434,19447.7,59473.2,8241,4350.3,6052.9,2043.8,880,2209.1,24153.4,4353.2,2091.7,1168,781.8,4376.3,127.9,1081.5,5230.3,255.9,16916,61479.4,8138.5,4538.9,5912.4,1776.1,4462.2,2157.4,910.6,4149.7,170.3,1098.8,0,585.2,0,0,12.7,0,0,207.2,934.7,463,651.1,866.3,808.3,1338586,1320605,1320112.64928,286588.731759,282763.628716,569352.360475,265707.705912,260309.582891,526017.288803,66153,758916.360475,1179306.64928,1165361.64928,1162038,1765535,0.784002,1.034064,1707375.55722
