"ID","rh_bankssts_area","rh_caudalanteriorcingulate_area","rh_caudalmiddlefrontal_area","rh_cuneus_area","rh_entorhinal_area","rh_fusiform_area","rh_inferiorparietal_area","rh_inferiortemporal_area","rh_isthmuscingulate_area","rh_lateraloccipital_area","rh_lateralorbitofrontal_area","rh_lingual_area","rh_medialorbitofrontal_area","rh_middletemporal_area","rh_parahippocampal_area","rh_paracentral_area","rh_parsopercularis_area","rh_parsorbitalis_area","rh_parstriangularis_area","rh_pericalcarine_area","rh_postcentral_area","rh_posteriorcingulate_area","rh_precentral_area","rh_precuneus_area","rh_rostralanteriorcingulate_area","rh_rostralmiddlefrontal_area","rh_superiorfrontal_area","rh_superiorparietal_area","rh_superiortemporal_area","rh_supramarginal_area","rh_frontalpole_area","rh_temporalpole_area","rh_transversetemporal_area","rh_insula_area","rh_WhiteSurfArea_area","BrainSegVolNotVent.x","eTIV.x","lh_bankssts_area","lh_caudalanteriorcingulate_area","lh_caudalmiddlefrontal_area","lh_cuneus_area","lh_entorhinal_area","lh_fusiform_area","lh_inferiorparietal_area","lh_inferiortemporal_area","lh_isthmuscingulate_area","lh_lateraloccipital_area","lh_lateralorbitofrontal_area","lh_lingual_area","lh_medialorbitofrontal_area","lh_middletemporal_area","lh_parahippocampal_area","lh_paracentral_area","lh_parsopercularis_area","lh_parsorbitalis_area","lh_parstriangularis_area","lh_pericalcarine_area","lh_postcentral_area","lh_posteriorcingulate_area","lh_precentral_area","lh_precuneus_area","lh_rostralanteriorcingulate_area","lh_rostralmiddlefrontal_area","lh_superiorfrontal_area","lh_superiorparietal_area","lh_superiortemporal_area","lh_supramarginal_area","lh_frontalpole_area","lh_temporalpole_area","lh_transversetemporal_area","lh_insula_area","lh_WhiteSurfArea_area","BrainSegVolNotVent.y","eTIV.y"
"1_VERIO.long.template_1",750,443,1934,1667,242,2427,4358,2998,809,4564,2406,3278,1587,3156,616,1175,1184,847,1286,1880,3412,977,4143,3929,464,4952,5683,5089,3034,3141,283,379,272,2152,75517.8,1005507,1211811.3398,654,592,1730,1430,274,2680,3650,2505,1038,4612,2699,3063,1531,2375,543,1177,1603,691,1444,1779,3664,1029,4187,3843,816,4029,5616,4980,3568,3969,206,307,419,2307,75008.4,1005507,1211811.3398
"1_SKYRA.long.template_1",783,436,1933,1646,239,2416,4318,2956,819,4504,2290,3241,1588,3081,596,1168,1183,841,1259,1864,3344,979,4033,3833,456,4926,5550,4994,2971,3104,277,363,262,2142,74396.4,978559,1211811.3398,650,577,1691,1430,264,2693,3566,2458,1025,4500,2672,3031,1523,2316,536,1145,1589,658,1392,1750,3515,1027,4063,3726,792,3974,5442,4875,3510,3847,198,301,416,2313,73467.5,978559,1211811.3398
"2_VERIO.long.template_2",774,541,1688,1531,286,2547,4521,2888,989,4997,2349,3479,1859,3338,590,1144,1233,903,1801,1876,3555,1052,4463,3375,637,5396,6214,4579,3259,3146,331,398,274,2190,78202.4,1037784,1411349.27948,839,517,1875,1530,340,2851,4227,3376,967,4798,2420,3222,2078,3137,658,1157,1405,629,1465,1851,3475,1013,4169,3331,534,5309,6798,4609,3271,3067,248,498,378,2273,78316.5,1037784,1411349.27948
"2_SKYRA.long.template_2",789,543,1675,1547,265,2527,4434,2873,943,4935,2325,3472,1856,3272,594,1134,1208,866,1751,1868,3412,1032,4357,3300,607,5373,6094,4472,3202,3090,335,384,269,2197,77001.1,1011806,1411349.27948,863,516,1848,1531,332,2830,4158,3339,952,4703,2414,3245,1899,3057,660,1138,1394,613,1420,1830,3332,988,4057,3256,541,5222,6654,4498,3217,3019,244,515,353,2240,76872,1011806,1411349.27948
"3_VERIO.long.template_3",1299,1061,2818,1977,460,3587,5524,4344,998,5704,2933,3464,2401,4761,697,1550,1603,989,1730,1885,4330,1412,5501,5464,904,6941,8128,5649,4435,4692,365,561,380,2582,101126,1312220,1661412.33097,1358,803,2453,1559,504,4142,5204,4464,1019,5538,3242,2980,2664,4254,662,1537,1583,842,1470,1389,4308,1437,5497,5022,1081,6856,9223,6180,4509,4432,335,539,491,2531,100104,1312220,1661412.33097
"3_SKYRA.long.template_3",1305,1026,2785,1961,487,3567,5471,4325,1006,5649,2927,3494,2403,4681,718,1538,1620,963,1692,1859,4255,1387,5445,5410,877,6888,8081,5615,4398,4669,361,582,385,2836,100668,1303195,1661412.33097,1378,823,2439,1585,487,4041,5198,4468,1100,5479,3265,3036,2545,4184,674,1530,1575,818,1453,1397,4231,1477,5408,4994,1101,6761,9141,6136,4429,4424,329,518,495,2503,99423.7,1303195,1661412.33097
"4_VERIO.long.template_4",744,679,1999,1758,348,2888,4118,3236,974,6078,2455,3281,1969,3553,669,1389,1218,868,1365,1673,3450,1065,4616,3783,562,5685,6498,4862,3328,3345,398,487,286,2341,81967.7,1097267,1423821.67183,778,525,2406,1924,448,3056,3708,3826,1035,5806,2634,3281,1821,2967,661,1243,1536,771,1265,1579,3532,974,4940,3419,754,5336,6767,5298,3860,3229,270,463,437,2111,82667,1097267,1423821.67183
"4_SKYRA.long.template_4",767,665,2018,1742,363,2934,4050,3234,951,6013,2443,3393,1937,3522,674,1372,1208,845,1334,1668,3375,1065,4571,3757,563,5683,6453,4841,3261,3314,405,513,281,2275,81484.8,1082101,1423821.67183,795,515,2384,1863,464,2976,3651,3773,1018,5728,2651,3287,1901,2904,654,1246,1495,729,1223,1571,3465,963,4858,3396,720,5255,6676,5226,3807,3205,272,507,445,2206,81824.8,1082101,1423821.67183
"5_VERIO.long.template_5",1091,796,2419,1662,403,3796,6567,4006,1066,6080,3132,3637,2515,4387,829,1501,1576,1086,1658,1675,4591,1298,5481,4380,844,6290,7963,6156,4191,4160,415,449,324,3065,99491.2,1322430,1703227.70828,1132,674,2881,1480,600,4496,5364,4590,1214,6909,3262,3261,2068,4747,797,1421,1767,763,1578,1418,4447,1392,5652,4212,1080,5739,8296,6748,4481,4435,291,659,448,3071,101363,1322430,1703227.70828
"5_SKYRA.long.template_5",1097,794,2472,1694,392,3797,6608,4010,1099,6129,3141,3657,2437,4374,815,1523,1595,1060,1657,1709,4538,1276,5501,4367,832,6278,8022,6213,4163,4125,422,474,331,2691,99296.7,1318043,1703227.70828,1168,662,2852,1507,582,4473,5360,4599,1210,6836,3265,3256,2051,4655,807,1456,1775,749,1565,1393,4444,1401,5615,4168,1052,5753,8321,6782,4412,4424,292,667,468,3072,101091,1318043,1703227.70828
