"Measure.volume","Left.Lateral.Ventricle","Left.Inf.Lat.Vent","Left.Cerebellum.White.Matter","Left.Cerebellum.Cortex","Left.Thalamus.Proper","Left.Caudate","Left.Putamen","Left.Pallidum","X3rd.Ventricle","X4th.Ventricle","Brain.Stem","Left.Hippocampus","Left.Amygdala","CSF","Left.Accumbens.area","Left.VentralDC","Left.vessel","Left.choroid.plexus","Right.Lateral.Ventricle","Right.Inf.Lat.Vent","Right.Cerebellum.White.Matter","Right.Cerebellum.Cortex","Right.Thalamus.Proper","Right.Caudate","Right.Putamen","Right.Pallidum","Right.Hippocampus","Right.Amygdala","Right.Accumbens.area","Right.VentralDC","Right.vessel","Right.choroid.plexus","X5th.Ventricle","WM.hypointensities","Left.WM.hypointensities","Right.WM.hypointensities","non.WM.hypointensities","Left.non.WM.hypointensities","Right.non.WM.hypointensities","Optic.Chiasm","CC_Posterior","CC_Mid_Posterior","CC_Central","CC_Mid_Anterior","CC_Anterior","BrainSegVol","BrainSegVolNotVent","BrainSegVolNotVentSurf","lhCortexVol","rhCortexVol","CortexVol","lhCerebralWhiteMatterVol","rhCerebralWhiteMatterVol","CerebralWhiteMatterVol","SubCortGrayVol","TotalGrayVol","SupraTentorialVol","SupraTentorialVolNotVent","SupraTentorialVolNotVentVox","MaskVol","BrainSegVol.to.eTIV","MaskVol.to.eTIV","EstimatedTotalIntraCranialVol"
"1_VERIO.long.template_1",4418,240.2,14426.6,44165,6960.5,2996.8,4646.1,1806.1,490,2335,19741.2,3729.1,1426.7,757.2,506,3492.2,78.5,964.8,5179.2,172.3,14075.9,45371.7,6401,3145.7,4670.9,1830.9,3983.1,1627.8,577.8,3525.2,89.4,948.5,7.8,390.9,0,0,20.3,0,0,121.8,885.7,538.9,419.3,511.2,991,993616,978559,978605.273895,212701.243399,216599.31622,429300.559619,188874.276595,189559.437681,378433.714276,52907,572462.559619,874178.273895,862486.273895,860649,1418736,0.819943,1.170756,1211811.3398
"1_SKYRA.long.template_1",4441.6,269.6,14603.1,44482.2,7015.9,3098.5,4692.3,1849.3,496.4,2338.7,19546.7,3808.3,1413.6,732.4,549.2,3743.8,89.7,1069.1,5288.9,162,14027.9,45420,6442.4,3184.7,4740.1,1815.5,4073.9,1569.6,559.9,3770.7,104.5,1015.5,0,446.7,0,0,13.8,0,0,112.7,890.8,546.5,448.1,649.3,888.1,1020773,1005507,1005475.5765,220816.644736,223958.845262,444775.489998,194104.376372,193792.710134,387897.086506,54215,589875.489998,900794.576504,888836.576504,886997,1424552,0.842353,1.175556,1211811.3398
"2_VERIO.long.template_2",6616.1,351.9,15178.7,49534,6955.5,3608.3,4683.5,2156.8,1116.1,2646.4,20470.3,3554.2,1648.7,1280.4,482.4,4027.2,114.5,998,7029.3,180.5,14767.3,50457.7,7048.8,3641.6,4828.9,1937.3,3797,1604.8,646.6,4232.6,111.9,1002.5,0,401.6,0,0,6,0,0,195.3,858.1,546.5,442.9,447.8,846.3,1032917,1011806,1011463.07038,205464.188628,205280.641336,410744.829964,207032.007881,206814.232531,413846.240411,56461,568673.829964,899334.070375,883222.070375,881463,1468681,0.731865,1.040622,1411349.27948
"2_SKYRA.long.template_2",6223.7,304,15155.2,50332.4,7193.5,3705.4,4755.7,2213.4,1079.6,2578.9,20894,3705.7,1627.1,1139.4,521.4,4127.1,92.5,987.3,6704.5,212.2,14541.8,51287.4,7223,3765.5,4873.8,2047.3,3878.9,1662,672.9,4230.2,121.2,1016.8,0,377.5,0,0,5.2,0,0,197.8,880,586,466.7,467.9,852.9,1057766,1037784,1037747.12009,211660.65755,212807.929773,424468.587323,211647.09232,212202.440446,423849.532766,57896,585450.587323,923753.120089,908479.120089,906267,1469809,0.749471,1.041421,1411349.27948
"3_VERIO.long.template_3",5212.4,215.1,18062.1,59417.1,8399.3,4043.3,5074.2,2332.5,789.6,1464.8,25371.5,4852.1,2077.5,1037.2,769.4,4419.6,115.3,851.4,2966.2,203.7,17933.3,60405.5,8253.3,4060.2,5251.1,1882,4710.4,2178.9,884.5,4439,68.6,817.2,5.8,798.1,0,0,6.8,0,0,279.9,882.4,498.9,605.8,485.2,882.9,1316382,1303195,1303108.69863,284704.667403,281139.873121,565844.540524,257761.194361,257685.963747,515447.158107,65559,752189.540524,1159771.69863,1149776.69863,1146839,1820943,0.792327,1.096021,1661412.33097
"3_SKYRA.long.template_3",5183.8,251.1,18214,60343.8,8433.3,4148.3,5063.6,2358,792.4,1450.2,25231.5,4891,2125.8,1013.5,760.9,4630.3,115.3,880.5,2960.5,253.2,17719.2,61493.6,8410.9,4102.6,5313.1,1848.5,4819.9,2226.7,907.9,4719.9,76.7,846.6,5,776.5,0,0,6.7,0,0,270.3,885.7,506.3,583.4,462.6,910.9,1325389,1312220,1312232.63281,285395.505959,283277.758015,568673.263974,259131.268588,259691.100248,518822.368836,66784,758294.263974,1167343.63281,1157255.63281,1154196,1813313,0.797748,1.091429,1661412.33097
"4_VERIO.long.template_4",3543.7,546.5,14340.7,49688.1,6889.8,3607.7,4707.5,1903.4,894,1569.9,19268.1,4566.9,1966,951.5,607.6,4000.3,112.2,1334.4,3979.1,283.2,13585,49516.1,6734.1,3848.6,4775.9,1739.3,4832,2165.4,743.5,3990.7,119.2,1286.7,0,361.9,0,0,2.7,0,0,161.4,953.8,457.8,490,386.6,712.4,1096006,1082101,1082568.03755,236769.594801,240371.256174,477140.850976,210290.350811,207715.83576,418006.186571,59238,637301.850976,968023.037547,957392.037547,953983,1512864,0.769764,1.062538,1423821.67183
"4_SKYRA.long.template_4",3560,536.5,14544.7,51022.6,6807.6,3685.7,4772.2,1924.6,879.9,1560.5,19498.6,4699,1993.9,965.4,638.8,4045,102,1318.8,4032.1,278.8,13554.1,50423.1,6779.3,3888.6,4781.6,1838,4807.1,2140.1,732.9,4123.8,119,1351.9,0,381.8,0,0,3.9,0,0,189.1,964.7,446,478.3,395.1,701.6,1111238,1097267,1097370.30954,241213.887638,241973.969715,483187.857353,214706.984088,209075.468098,423782.452187,59733,646284.857353,980611.30954,969905.30954,966625,1514635,0.780462,1.063781,1423821.67183
"5_VERIO.long.template_5",6003.7,442.8,19851.7,57175,7922.7,4323.2,6077.4,2144.9,801.1,2312.1,24340.8,4338.3,2045,1168.1,633.3,3913.6,79.2,1064.6,5102.4,192.5,17252.8,61213.5,7995.1,4436.8,5904.8,2019.2,4420.4,2155.7,858.9,3767.6,84.9,1197.8,0,634.4,0,0,19.4,0,0,150.2,984.3,463.3,730,952.4,817.1,1335807,1318043,1318013.2799,286443.10383,284862.62924,571305.73307,264522.277495,260537.269338,525059.546833,64555,756529.73307,1178222.2799,1164538.2799,1160924,1788971,0.78428,1.050342,1703227.70828
"5_SKYRA.long.template_5",6110.3,467.7,20154.8,58322.3,8175.3,4335.3,6148.2,2098.8,820.5,2222.9,23715.6,4453.5,2038.5,1223.1,765.8,4363.3,78.6,1100.3,5268.2,232.6,17259,62604.2,8129.9,4561.8,5916.2,1859.1,4464.1,2029.8,873.6,4191.7,115.8,1158.7,0,537.1,0,0,8.8,0,0,215.1,951.7,450.4,738.8,942.5,827.9,1340492,1322430,1322383.48176,289932.085084,281551.28714,571483.372224,265294.760774,259771.348766,525066.10954,66299,760943.372224,1180295.48176,1166219.48176,1162850,1790912,0.78703,1.051481,1703227.70828
"6_VERIO.long.template_6",6543.3,471.6,13565.7,46652.8,6649.3,3470.6,4922.3,2085,891.6,1338.6,21070.5,4317.2,1692.1,787.1,390.8,3629.8,176,1058.3,6607.3,196,12826.5,47554,6535.9,3629.2,4989.8,1856.9,4232.4,1975.3,492.6,3793.9,91.2,1243.4,12,877.2,0,0,8.3,0,0,141.1,916.2,497.3,556.4,423.3,812.2,1126233,1107251,1107058.80087,245242.623039,239934.511818,485177.134857,224244.736487,220872.929527,445117.666015,56230,636116.134857,1005019.80087,988949.800871,986828,1544621,0.766267,1.050931,1469764.81605
"6_SKYRA.long.template_6",6917.7,474.7,12989.7,47925.5,6788.1,3497.1,4963.9,2002,924.3,1258.9,20516.6,4323.3,1803.9,840.9,468.9,4018.1,189.5,1193,7049.1,203.4,12710.7,47534.4,6544,3676.5,5029.8,1918,4256.4,2009.6,498.9,4067.1,82.3,1360.8,6.9,883.9,0,0,12.7,0,0,160.2,935.6,488.5,530,430.8,835.5,1152231,1132236,1132270.963,250450.065047,246647.071149,497097.136197,229656.943195,227115.883604,456772.826799,57535,650509.136197,1030866.963,1013733.963,1011499,1547144,0.783956,1.052647,1469764.81605
"7_VERIO.long.template_7",5994.2,316.4,20677.9,63638.1,7715.6,4670.3,5648.3,2374.8,989.6,1662.1,29055.6,4271.9,1855.7,1262.9,707.3,4527.1,160.8,873.1,4812.8,218.6,20461,66491.5,7837.4,4774.6,5740.8,2172.1,4638.5,1960,781.7,4521.2,110.2,1021.7,0,788.6,0,0,12.6,0,0,248.2,1147.4,680.3,865.3,813.5,1260.4,1315457,1298632,1299045.12465,272067.161988,274917.025425,546984.187413,255952.972468,258372.964766,514325.937234,66084,743921.187413,1143272.12465,1130229.12465,1127007,1788851,0.784462,1.066767,1676890.08682
