"Measure.volume","Left.Lateral.Ventricle","Left.Inf.Lat.Vent","Left.Cerebellum.White.Matter","Left.Cerebellum.Cortex","Left.Thalamus.Proper","Left.Caudate","Left.Putamen","Left.Pallidum","X3rd.Ventricle","X4th.Ventricle","Brain.Stem","Left.Hippocampus","Left.Amygdala","CSF","Left.Accumbens.area","Left.VentralDC","Left.vessel","Left.choroid.plexus","Right.Lateral.Ventricle","Right.Inf.Lat.Vent","Right.Cerebellum.White.Matter","Right.Cerebellum.Cortex","Right.Thalamus.Proper","Right.Caudate","Right.Putamen","Right.Pallidum","Right.Hippocampus","Right.Amygdala","Right.Accumbens.area","Right.VentralDC","Right.vessel","Right.choroid.plexus","X5th.Ventricle","WM.hypointensities","Left.WM.hypointensities","Right.WM.hypointensities","non.WM.hypointensities","Left.non.WM.hypointensities","Right.non.WM.hypointensities","Optic.Chiasm","CC_Posterior","CC_Mid_Posterior","CC_Central","CC_Mid_Anterior","CC_Anterior","BrainSegVol","BrainSegVolNotVent","BrainSegVolNotVentSurf","lhCortexVol","rhCortexVol","CortexVol","lhCerebralWhiteMatterVol","rhCerebralWhiteMatterVol","CerebralWhiteMatterVol","SubCortGrayVol","TotalGrayVol","SupraTentorialVol","SupraTentorialVolNotVent","SupraTentorialVolNotVentVox","MaskVol","BrainSegVol.to.eTIV","MaskVol.to.eTIV","EstimatedTotalIntraCranialVol"
"1_unwarped_VERIO.long.template_1_unwarped",4550.7,231.2,13607.9,43799.3,6768.2,3084.2,4743.2,1828.5,502.4,2402.3,19444.3,3612.7,1405.3,751.1,469.5,3571.5,83.7,1038.8,5409.8,170.8,13642.3,44547.8,6298.6,3143.3,4606.8,1787.3,3940.4,1654.4,579.1,3734.8,91.7,752.8,4.8,361.3,0,0,17.4,0,0,140.2,896.6,507.8,417.7,512,966.6,994376,978809,978946.392622,213463.740862,216092.458705,429556.199568,190564.336437,190348.856617,380913.193054,52821,571623.199568,877365.392622,865329.392622,863173,1418003,0.693277,0.988629,1434312.43864
"1_unwarped_SKYRA.long.template_1_unwarped",4582.9,243.4,13614.8,44522,6786,3139.1,4766.6,1893.6,545,2423.3,19538.1,3737.5,1416.4,805.5,501.5,3824.2,91.5,1078.6,5547.1,186.3,13434.6,45105.7,6433.8,3158.3,4654.6,1795.5,4060.8,1597.2,582.7,3836.1,84.7,763.4,0,351.9,0,0,17.5,0,0,134.6,875.5,541.6,449.6,631.5,907.9,1014290,998452,998384.511352,220271.933977,222120.07665,442392.010627,192961.561797,192544.938928,385506.500725,53822,586881.010627,896071.511352,883848.511352,881805,1418300,0.707161,0.988836,1434312.43864
"2_unwarped_VERIO.long.template_2_unwarped",6591.2,326.3,14929.1,48209.1,6822.5,3626.1,4804.8,2165.9,1049.8,2568.4,20379.8,3551.7,1528.4,1264.4,503.7,4037.7,120.6,1124.8,6972.4,150.4,14042.4,50000.2,7007.3,3687.3,4743,1965.8,3792.7,1563.9,590.5,4022.6,114.4,1083.5,4.7,501.6,0,0,8.1,0,0,201.6,846.9,554.5,469.5,460.3,829.1,1029514,1008661,1008712.47523,203861.537525,204434.443697,408295.981222,207672.362666,209194.131342,416866.494007,56016,563842.981222,899347.475229,883276.475229,881164,1458253,0.718011,1.017026,1433840.89061
"2_unwarped_SKYRA.long.template_2_unwarped",6232.8,331.5,15330.9,49088.7,6987,3725.6,4879.7,2191.5,981.2,2525.8,20733.2,3653,1572.4,1215.6,559.5,4103,117.7,1102.2,6643.5,164,13805,51093.6,7056.6,3764.3,4810.7,2024.8,3835.1,1678.6,594.4,4140.5,105.1,1087.8,0,488.6,0,0,10.6,0,0,217.6,868.4,568.1,486.5,551.5,772.7,1057090,1037153,1037441.85601,212572.225951,211490.073748,424062.299699,213057.270699,213749.285615,426806.556314,57187,582795.299699,925592.856013,910255.856013,907789,1455533,0.737244,1.015129,1433840.89061
"3_unwarped_VERIO.long.template_3_unwarped",5207.2,261,17844.7,57616.1,8482.5,4131,5137.8,2386.6,797.3,1395.1,24831.9,4662.9,1926,919,713.3,4342.8,114.2,891.1,2806.4,204.5,17710.6,58384.3,8284.6,4022.9,5252.6,1911.9,4720,2110.3,855.1,4344.1,72,925.1,0,930.8,0,0,10.2,0,0,261.1,884.3,509.5,596.6,451.3,912,1304480,1291498,1291821.502,281812.235458,278596.802784,560409.038242,256826.121456,257569.342301,514395.463757,65241,742331.038242,1152950.502,1142896.502,1139637,1809135,0.771085,1.06939,1691745.47637
"3_unwarped_SKYRA.long.template_3_unwarped",5209.7,323.8,18252.8,59347.4,8517.1,4187.8,5143.8,2375,769.6,1406.8,24913,4618.8,2110.5,915.2,721.6,4588.2,136.6,934.3,2808.3,232.9,17472.9,60084,8426.4,4067.1,5331.5,1863.7,4760.8,2153.8,877.1,4641.8,76,954.2,0,891.8,0,0,6.6,0,0,267.3,905,508.8,638.2,456.4,932.4,1334298,1321219,1321212.00223,287578.071307,286035.236638,573613.307945,262573.194867,263287.499418,525860.694285,66424,760504.307945,1179075.00223,1168912.00223,1165849,1811759,0.788711,1.070941,1691745.47637
"4_unwarped_VERIO.long.template_4_unwarped",3380.9,550.2,13944.6,49650.9,6943.9,3639.6,4756,1848.1,895.6,1574,19432.4,4567.3,1965.2,975,582.5,4080.2,94.2,1347.8,4035,319.3,12984.2,48934.3,6719.8,3800.7,4665.2,1636.8,4605.7,2150.7,740.9,3941.2,132.7,1269.8,0,331.1,0,0,2.6,0,0,142.6,969.1,457.9,439.3,399.6,698.4,1085228,1071402,1071889.36672,234894.036789,235739.671289,470633.708079,209256.333334,206838.325308,416094.658642,58753,629693.708079,959125.366721,948620.366721,945082,1466797,0.752696,1.017346,1441788.42672
"4_unwarped_SKYRA.long.template_4_unwarped",3491.1,540.4,13889.9,50209.6,6912.3,3719.5,4787.8,1896.8,891.8,1579.3,19567.1,4601.9,1971.1,973.2,632.2,4143.4,104.5,1394.9,4058.7,339.9,12783.5,49486,6699.8,3867,4718.3,1738.5,4659,2078.9,681.1,3949.1,122.2,1343.9,0,332.1,0,0,4,0,0,176.7,940.7,461.4,497.7,413.3,692.8,1094716,1080599,1081023.87161,235518.511203,237671.30765,473189.818853,212096.52895,209730.523805,421827.052754,59093,633484.818853,967889.871607,957102.871607,953750,1465531,0.759276,1.016467,1441788.42672
"5_unwarped_VERIO.long.template_5_unwarped",6021,443.2,19390.5,57992.1,8079,4295.2,6026.7,1880.5,864.1,2332.3,24834.2,4436.2,1983.1,1168.9,729.8,3866.7,100.8,1012.4,5212.4,241.1,18043.7,60592.1,8068.8,4420.9,5889.6,1886.3,4420.1,2219.7,883,3732.1,92.1,1086.4,0,673.8,0,0,16.6,0,0,184.9,956.5,435.1,627.2,865.8,817,1326460,1308417,1308531.46789,286788.13986,277880.933552,564669.073412,263559.495835,257788.898646,521348.394481,64608,750500.073412,1168265.46789,1154398.46789,1150469,1758186,0.772638,1.02411,1716794.34776
"5_unwarped_SKYRA.long.template_5_unwarped",6025.3,494.8,18925.4,59417.3,8341.9,4410,6121.9,1915.2,842.6,2263.7,24264.7,4456.2,2087.5,1188.8,761.9,4380.8,149.8,1041.9,5293,203.1,17854,61356.6,8187.8,4572.9,5945.1,1901.1,4531.5,2117.1,874.8,4036.9,148.2,1143.6,0,655.1,0,0,17.9,0,0,226.1,932.3,442.5,653.3,803.6,853.5,1333951,1315874,1316124.88377,288064.276022,282099.254688,570163.53071,263061.664936,257037.688122,520099.353058,66643,760234.53071,1174663.88377,1160621.88377,1156649,1759441,0.777001,1.024841,1716794.34776
